Work Item Type,Title,Description,Acceptance Criteria,Area Path,Iteration Path,Priority,State,Parent
Epic,Gestión de Órdenes de Trabajo,Sistema completo para crear gestionar y ejecutar órdenes de trabajo de mantenimiento. Permite planificar y ejecutar mantenimientos de forma estructurada asegurando trazabilidad completa.,"Dependencias: Inventario, Archivo Técnico, Auscultación, Emergencias",SIPRESAS,HITO_01,1,New,
Feature,Creación de Órdenes de Trabajo,Funcionalidad para crear OT preventivas y correctivas con toda la información necesaria,Formularios de creación con validaciones y generación automática de códigos,SIPRESAS,HITO_01,1,New,Gestión de Órdenes de Trabajo
User Story,Crear Orden de Trabajo Preventiva,"Como Técnico de Mantenimiento quiero crear una OT preventiva programada para asegurar el mantenimiento regular de equipos críticos","1. Puedo seleccionar la presa desde el selector global
2. Puedo elegir el tipo de mantenimiento: Preventivo Correctivo Predictivo
3. Puedo asignar prioridad: Baja Media Alta Urgente
4. Puedo vincular equipos o infraestructuras del inventario
5. Puedo programar fecha prevista de ejecución
6. Puedo asignar técnicos responsables
7. Puedo adjuntar documentación de referencia
8. El sistema genera automáticamente un código único (OT-YYYY-XXX)
9. Se crea un registro en maintenance_work_orders con estado pending
10. Se envía notificación al responsable asignado",SIPRESAS,HITO_01,1,New,Creación de Órdenes de Trabajo
User Story,Crear Orden de Trabajo Correctiva de Emergencia,"Como Operador de Presa quiero crear una OT correctiva urgente para responder rápidamente a fallos detectados","1. Puedo crear OT con prioridad Urgente desde cualquier módulo
2. Puedo describir el problema detectado
3. Puedo adjuntar fotos del fallo
4. El sistema sugiere técnicos disponibles según turno
5. Se puede vincular desde alertas de auscultación
6. Se puede vincular desde situaciones de emergencia
7. Notificación inmediata a responsable de turno
8. El estado inicial es in_progress si es urgente
9. Se registra hora exacta de detección del fallo
10. Se calcula SLA según criticidad del equipo",SIPRESAS,HITO_01,1,New,Creación de Órdenes de Trabajo
Feature,Visualización y Consulta de OT,Capacidad para listar filtrar y ver detalles de órdenes de trabajo,Tabla con filtros avanzados y vista de detalle completa,SIPRESAS,HITO_01,1,New,Gestión de Órdenes de Trabajo
User Story,Visualizar Lista de Órdenes de Trabajo,"Como Jefe de Mantenimiento quiero ver todas las OT filtradas por estado y presa para supervisar el trabajo del equipo","1. Veo tabla con todas las OT de la presa seleccionada
2. Puedo filtrar por estado: Pendiente En Progreso Completada Cancelada
3. Puedo filtrar por tipo de mantenimiento
4. Puedo filtrar por prioridad
5. Puedo filtrar por rango de fechas
6. Veo código título equipo responsable fecha y estado
7. Puedo ordenar por cualquier columna
8. Puedo buscar por texto en código o título
9. Veo indicadores visuales de OT vencidas (SLA excedido)
10. Puedo acceder a detalle de cada OT",SIPRESAS,HITO_01,1,New,Visualización y Consulta de OT
User Story,Ver Detalle de Orden de Trabajo,"Como Técnico de Mantenimiento quiero ver todos los detalles de una OT para conocer qué debo hacer y con qué recursos","1. Veo código título descripción completa
2. Veo equipo/infraestructura vinculada con enlace al inventario
3. Veo tipo prioridad estado actual
4. Veo fechas: creación programada inicio real fin real
5. Veo responsable asignado y equipo de trabajo
6. Veo lista de materiales necesarios
7. Veo procedimiento de trabajo si está disponible
8. Veo historial de cambios de estado
9. Veo archivos adjuntos (procedimientos manuales)
10. Veo operaciones registradas si está en progreso",SIPRESAS,HITO_01,2,New,Visualización y Consulta de OT
Feature,Gestión del Ciclo de Vida de OT,Funcionalidades para cancelar modificar y gestionar estados de OT,Workflow completo de estados con validaciones,SIPRESAS,HITO_01,2,New,Gestión de Órdenes de Trabajo
User Story,Cancelar Orden de Trabajo,"Como Jefe de Mantenimiento quiero cancelar una OT que ya no es necesaria para mantener el sistema actualizado","1. Puedo cancelar OT en estado pending
2. Debo proporcionar motivo de cancelación obligatorio
3. El sistema registra quién y cuándo canceló
4. No se puede cancelar OT en estado completed
5. Se puede cancelar OT in_progress con confirmación adicional
6. Se envía notificación a todos los involucrados
7. La OT aparece en historial como cancelada
8. No se puede reactivar una OT cancelada (debe crear nueva)
9. Los materiales reservados se liberan automáticamente
10. Se registra en el log de auditoría",SIPRESAS,HITO_01,2,New,Gestión del Ciclo de Vida de OT
Epic,Programación y Planificación,Calendario de mantenimientos preventivos basado en frecuencias criticidad y disponibilidad de recursos. Optimiza recursos y evita fallos por falta de mantenimiento.,"Dependencias: Inventario, Explotación",SIPRESAS,HITO_01,1,New,
